filename,width,height,class,xmin,ymin,xmax,ymax
bottle133.jpeg,300,300,bottle,67,33,163,299
can138.jpeg,300,300,can,7,14,120,226
not_bc132.jpeg,300,300,not_bc,123,3,219,151
bottle166.jpeg,300,300,bottle,112,12,179,293
bottle166.jpeg,300,300,not_bc,52,114,122,279
bottle166.jpeg,300,300,not_bc,168,147,292,267
can159.jpeg,300,300,can,1,106,68,243
can159.jpeg,300,300,not_bc,180,16,275,122
not_bc13.jpeg,300,300,not_bc,7,129,160,300
not_bc13.jpeg,300,300,not_bc,96,6,288,294
can104.jpeg,300,300,can,163,1,226,130
bottle39.jpeg,300,300,can,99,166,153,241
bottle39.jpeg,300,300,bottle,121,27,173,224
can66.jpeg,300,300,can,11,3,88,156
not_bc55.jpeg,300,300,not_bc,126,58,212,246
bottle49.jpeg,300,300,bottle,164,35,211,203
bottle35.jpeg,300,300,bottle,36,1,121,115
not_bc67.jpeg,300,300,not_bc,92,78,210,294
bottle164.jpeg,300,300,bottle,79,105,230,217
can140.jpeg,300,300,can,228,64,288,172
can140.jpeg,300,300,can,210,173,261,282
not_bc127.jpeg,300,300,not_bc,90,52,236,273
can188.jpeg,300,300,can,44,74,265,264
bottle8.jpeg,300,300,bottle,181,16,261,292
can181.jpeg,300,300,can,83,17,184,268
can158.jpeg,300,300,can,181,61,300,295
can95.jpeg,300,300,can,205,7,300,226
can95.jpeg,300,300,not_bc,1,44,208,274
not_bc138.jpeg,300,300,not_bc,14,7,287,300
not_bc75.jpeg,300,300,not_bc,58,36,132,156
not_bc131.jpeg,300,300,not_bc,1,18,55,298
can156.jpeg,300,300,can,61,114,106,261
can156.jpeg,300,300,can,110,115,158,263
not_bc97.jpeg,300,300,not_bc,177,111,230,274
bottle6.jpeg,300,300,bottle,84,10,160,263
not_bc22.jpeg,300,300,not_bc,83,58,159,193
not_bc134.jpeg,300,300,not_bc,150,90,266,293
bottle145.jpeg,300,300,bottle,271,22,300,195
bottle145.jpeg,300,300,bottle,228,1,270,83
bottle161.jpeg,300,300,bottle,237,123,274,267
bottle161.jpeg,300,300,can,201,190,238,270
can116.jpeg,300,300,can,104,142,130,205
not_bc78.jpeg,300,300,not_bc,104,50,192,294
not_bc96.jpeg,300,300,not_bc,109,101,181,286
can144.jpeg,300,300,can,25,164,97,256
can144.jpeg,300,300,can,219,48,296,142
can144.jpeg,300,300,not_bc,170,68,236,170
not_bc86.jpeg,300,300,not_bc,92,12,165,300
can89.jpeg,300,300,can,225,7,294,142
can89.jpeg,300,300,can,164,3,227,131
bottle180.jpeg,300,300,bottle,130,7,170,156
bottle46.jpeg,300,300,bottle,106,54,153,252
not_bc96.jpeg,300,300,not_bc,109,101,181,286
not_bc13.jpeg,300,300,not_bc,7,129,160,300
not_bc13.jpeg,300,300,not_bc,96,6,288,294
bottle105.jpeg,300,300,bottle,173,5,232,294
can50.jpeg,300,300,can,46,174,89,277
